ID  type      throughput  
1	SGX       279.2149805
2	SGX       566.1923976
3	SGX       822.5152849
4	SGX       1115.687172
5	SGX       1381.299312
6	SGX       1644.44498
7	SGX       1512.700629
8	SGX       1540.365009
9	SGX       1600.198636
10	SGX       1588.424357
1   firstFeature    209.0331299
2   firstFeature    386.9498883
3   firstFeature    577.8492983
4   firstFeature    757.0835648
5   firstFeature    926.5702153
6   firstFeature    1119.357098
7   firstFeature    1269.580373
8   firstFeature    1438.392905
9   firstFeature    1582.292607
10  firstFeature    1574.166453
1   minFeature      207.8563193
2   minFeature      379.334775
3   minFeature      579.0812552
4   minFeature      748.6912526
5   minFeature      934.7688364
6   minFeature      1095.621704
7   minFeature      1272.070006
8   minFeature      1428.043483
9   minFeature      1579.429034
10  minFeature      1519.90459
1   allFeature      207.4699305
2   allFeature      390.6916941
3   allFeature      563.9646421
4   allFeature      758.4665495
5   allFeature      928.1322879
6   allFeature      1108.084199
7   allFeature      1266.567598
8   allFeature      1433.714339
9   allFeature      1583.312001
10  allFeature      1517.67446
